name,source,source_url,source_price_eur,recommended_sale_eur,margin,demand,competition,viability,category,notes
100Pcs Colorful Bendable Straw Drinking Kunststof Straw for Milk Tea Bar Party Rietjes Drinking Wedding Kitchen Beverage Straws $0.99$4.22 -76%4.9100K+ soldNew shoppers save $3.23Extra 2% off with coi,aliexpress,https://www.aliexpress.us/item/3256806780025690.html,100.0,200.0,0.5,10,low,viable,kitchen,Target Bilbao/Spain; Competitors sampled: 0
"Facial LED Mask 7 Colors LED Face Mask LED Repair Skin Beauty Machine Wireless Use $9.88$20.57 -52%4.910,000+ soldExtra 2% off with coinsSee previewSimilar items",aliexpress,https://www.aliexpress.us/item/3256807958421061.html,7.0,14.0,0.5,10,low,viable,beauty_health,Target Bilbao/Spain; Competitors sampled: 0
"1/3pcs Artificial Flowers Fake Plastic Gypsophila Wedding Bridal Bouquets Accessory Clearance Vase Home Room Decor Diy Gift Yard $1.76$3.66 -52%4.950,000+ soldExtra 2% off with coinsSee previewSimilar",aliexpress,https://www.aliexpress.us/item/3256807801574279.html,1.0,2.0,0.5,5,low,marginal,home_garden,Target Bilbao/Spain; Competitors sampled: 0
"Outdoor Solar Patio Wall Light, Garden Home Wall Decor 100 LED Exterior Wall Light $4.67$9.73 -52%4.950,000+ soldExtra 2% off with coinsSee previewSimilar items",aliexpress,https://www.aliexpress.us/item/3256806984992388.html,100.0,200.0,0.5,5,low,marginal,home_garden,Target Bilbao/Spain; Competitors sampled: 0
"Solar-powered LED garden lamp, passive infrared sensor outdoor lamp, household perimeter corridor energy-saving wall lamp $4.75$9.5 -50%4.910,000+ soldExtra 2% off with coinsSee previewSimilar items",aliexpress,https://www.aliexpress.us/item/3256806808813113.html,4.75,9.5,0.5,5,low,marginal,home_garden,Target Bilbao/Spain; Competitors sampled: 0
50-1000Pcs Drinking Straws Colorful & Black rietjes Flexible Wedding Party Supplies Drinking Straws Kitchen Wholesale $2.15$4.48 -52%4.9100K+ soldExtra 2% off with coinsSee previewSimilar items,aliexpress,https://www.aliexpress.us/item/3256807636246678.html,50.0,100.0,0.5,5,low,marginal,kitchen,Target Bilbao/Spain; Competitors sampled: 0
Men's Running Quick Drying T-shirts Breathable Hiking Fishing Tees Soft Elasticity Outdoor Sports Short Shirt Summer $3.76$7.84 -52%4.9100K+ soldExtra 2% off with coinsSee previewSimilar items,aliexpress,https://www.aliexpress.us/item/3256808372810471.html,3.76,7.52,0.5,5,low,marginal,sports_outdoor,Target Bilbao/Spain; Competitors sampled: 0
"Neck Face Lifting Massager 7 Colors Light LED Photon Therapy Skin Tighten Wrinkle Remove Heating Vibration Massage Beauty Device $7.2$32.41 -77%4.910,000+ soldNew shoppers save $25.21Lowest price in 9",aliexpress,https://www.aliexpress.us/item/3256810205886808.html,7.0,14.0,0.5,5,low,marginal,beauty_health,Target Bilbao/Spain; Competitors sampled: 0
"Facial Neck Massager 7 Color Vibrating EMS Micro-current Neck Face Beauty Device for Enhanced Face Neck and Shoulder Care $9.91$19.83 -50%4.910,000+ soldPremium QualityExtra 2% off with coinsSee previ",aliexpress,https://www.aliexpress.us/item/3256810520429773.html,7.0,14.0,0.5,5,low,marginal,beauty_health,Target Bilbao/Spain; Competitors sampled: 0
"Bunion Corrector Big Toe Hallux Valgus Foot Brace Angle Adjuster Bone Thumb Straightener Orthopedic Strap Pedicure Care Tool $8.56$17.12 -50%4.910,000+ soldExtra 2% off with coinsSee previewSimilar it",aliexpress,https://www.aliexpress.us/item/3256807158423163.html,8.56,17.12,0.5,5,low,marginal,beauty_health,Target Bilbao/Spain; Competitors sampled: 0
"PATUOPRO 10mm Cordless Brushless Electric Drill 2-Speed Metal Chuck Screwdriver Home DIY Tool For Makita 18V Battery(No Battery) $35.01$70.02 -50%4.910,000+ soldTop selling on AliExpressLowest price i",aliexpress,https://www.aliexpress.us/item/3256806990805379.html,10.0,20.0,0.5,5,low,marginal,tools,Target Bilbao/Spain; Competitors sampled: 0
"JANGKLIFE USB Cordless Rotary Tool Kit Woodworking Engraving Pen DIY For Jewelry Metal Glass Mini Wireless Drill $6.36($0.21/pc) -79%4.74,000+ soldNew shoppers save $24.36Lowest price in 90 daysSee pr",aliexpress,https://www.aliexpress.us/item/3256806240817933.html,6.36,12.72,0.5,5,low,marginal,tools,Target Bilbao/Spain; Competitors sampled: 0
